velocity,throttle
-101.25,0.95
-100.99,0.949
-100.73,0.949
-100.47,0.949
-100.21,0.949
-99.95,0.949
-99.69,0.949
-99.43,0.949
-99.17,0.949
-98.91,0.948
-98.65,0.948
-98.39,0.948
-98.13,0.948
-97.87,0.948
-97.61,0.948
-97.09,0.948
-96.83,0.947
-96.57,0.947
-96.31,0.947
-96.05,0.947
-95.79,0.947
-95.53,0.947
-95.27,0.947
-95.01,0.947
-94.75,0.946
-94.49,0.946
-94.23,0.946
-93.97,0.946
-93.71,0.946
-93.45,0.946
-93.19,0.946
-92.93,0.946
-92.67,0.945
-92.41,0.945
-92.15,0.945
-91.89,0.945
-91.63,0.945
-91.11,0.945
-90.84,0.945
-90.59,0.944
-90.33,0.944
-90.06,0.944
-89.8,0.944
-89.29,0.944
-89.02,0.944
-88.76,0.944
-88.5,0.943
-88.24,0.943
-87.98,0.943
-87.72,0.943
-87.46,0.943
-87.2,0.943
-86.94,0.943
-86.68,0.943
-86.42,0.942
-86.16,0.942
-85.9,0.942
-85.38,0.942
-85.12,0.942
-84.86,0.942
-84.6,0.942
-84.34,0.941
-84.08,0.941
-83.56,0.941
-83.3,0.941
-83.04,0.941
-82.78,0.941
-82.52,0.941
-82.26,0.94
-82,0.94
-81.74,0.94
-81.48,0.94
-81.22,0.94
-80.96,0.94
-80.7,0.94
-80.44,0.94
-80.18,0.939
-79.92,0.939
-79.66,0.939
-79.4,0.939
-78.88,0.939
-78.62,0.939
-78.36,0.939
-78.1,0.939
-77.84,0.938
-77.58,0.938
-77.32,0.938
-77.06,0.938
-76.54,0.938
-76.28,0.938
-76.02,0.938
-75.76,0.937
-75.5,0.937
-75.24,0.937
-74.98,0.937
-74.72,0.937
-74.46,0.937
-74.2,0.937
-73.94,0.937
-73.68,0.936
-73.42,0.936
-73.16,0.936
-72.9,0.936
-72.64,0.936
-72.38,0.936
-72.12,0.936
-71.86,0.936
-71.6,0.935
-71.08,0.935
-70.82,0.935
-70.56,0.935
-70.3,0.935
-70.04,0.935
-69.77,0.935
-69.26,0.934
-69,0.934
-68.74,0.934
-68.48,0.934
-68.22,0.934
-67.95,0.934
-67.7,0.934
-67.43,0.933
-67.18,0.933
-66.92,0.933
-66.66,0.933
-66.4,0.933
-66.13,0.933
-65.88,0.933
-65.62,0.933
-65.1,0.932
-64.84,0.932
-64.58,0.932
-64.05,0.932
-63.79,0.932
-63.27,0.931
-63.02,0.931
-62.76,0.931
-62.5,0.931
-62.24,0.931
